State,Cong. District,Representative,Party,Leadership,Projects,Total Appropriation
Alabama,1,Jo Bonner ,Republican,,10,11296197
Alabama,2,Bobby Bright ,Democrat,,23,37296851
Alabama,3,Mike Rogers ,Republican,,8,15208715
Alabama,4,Robert B. Aderholt ,Republican,,10,67936268
Alabama,5,Parker Griffith ,Democrat,,7,36160712
Alabama,6,Spencer Bachus ,Republican,,5,15375707
Alabama,7,Artur Davis ,Democrat,,11,25918893
Alabama,Multiple,,,,2,3581186
Alaska,,Don Young,Republican,,14,94866124
Arizona,1,Ann Kirkpatrick ,Democrat,,34,92357718
Arizona,2,Trent Franks ,Republican,,9,22186537
Arizona,3,John Shadegg ,Republican,,26,19554440
Arizona,4,Ed Pastor ,Democrat,,2,10607392
Arizona,5,Harry Mitchell ,Democrat,,1,750000
Arizona,6,Jeff Flake ,Republican,,3,131842
Arizona,7,Raul Grijalva ,Democrat,,13,38625494
Arizona,8,Gabrielle Giffords ,Democrat,,20,42367198
Arizona,Multiple,,,,3,36554217
Arkansas,1,Marion Berry ,Democrat,,23,36589386
Arkansas,2,Vic Snyder ,Democrat,,10,22350186
Arkansas,3,John Boozman ,Republican,,9,33128687
Arkansas,4,Mike Ross ,Democrat,,22,40595861
Arkansas,Multiple,,,,2,2002344
California,1,Mike Thompson ,Democrat,,12,18163641
California,2,Wally Herger ,Republican,,17,102625516
California,3,Dan Lungren ,Republican,,4,21580436
California,4,Tom McClintock ,Republican,,26,76584794
California,5,Doris Matsui ,Democrat,,1,5746013
California,6,Lynn Woolsey ,Democrat,,12,10682337
California,7,George Miller ,Democrat,,11,10215000
California,8,Nancy Pelosi ,Democrat,,4,7510000
California,9,Barbara Lee ,Democrat,,5,19187494
California,10,Ellen O. Tauscher ,Democrat,,19,18622000
California,11,Jerry McNerney ,Democrat,,10,32831452
California,12,Jackie Speier ,Democrat,,14,13938300
California,13,Pete Stark ,Democrat,,4,11356000
California,14,Anna G. Eshoo ,Democrat,,18,16797500
California,15,Mike Honda ,Democrat,,5,4931000
California,16,Zoe Lofgren ,Democrat,,3,14253000
California,17,Sam Farr ,Democrat,,16,20967916
California,18,Dennis Cardoza ,Democrat,,4,45654276
California,19,George Radanovich ,Republican,,2,12180419
California,20,Jim Costa ,Democrat,,4,9858527
California,21,Devin Nunes ,Republican,,4,25320127
California,22,Kevin McCarthy ,Republican,,7,21949604
California,23,Lois Capps ,Democrat,,9,8482403
